,,,,,,,,,,,,,,,,
,account_id,age,sex,job_id,housing,savings_acc,checking_acc,credit_amount,duration,purpose,,pay per month,total credit,,male,22
,TGB0THYC,67,male,2,own,,little,1169,6,radio/TV,,194.8333333,1169,,female,8
,OJET9XAQ,22,female,2,own,little,moderate,595198,48,radio/TV,,12399.95833,595198,,total accounts,30
,ECPD0LIZ,49,male,1,own,little,,209609,12,education,,17467.41667,209609,,,
,ZH54M9UG,45,male,2,free,little,little,7882,42,furniture/equipment,,187.6666667,7882,,housing count,30
,1HJHDRAN,53,male,2,free,little,little,4870,24,car,,202.9166667,4870,,own housing,19
,LJ8P0SBN,35,male,1,free,,,9055,36,education,,251.5277778,9055,,rent housing,11
,21MRSXQE,53,male,2,own,quite rich,,2835,24,furniture/equipment,,118.125,2835,,,
,5E9WYMNM,35,male,3,rent,little,moderate,6948,36,car,,193,6948,,average age,40.53333333
,0PMB0322,61,male,1,own,rich,,3059,12,radio/TV,,254.9166667,3059,,minimum age,22
,GWOWZ1DT,28,male,3,own,little,moderate,5234,30,car,,174.4666667,5234,,maximum age,67
,OHIWKLXP,25,female,2,rent,little,moderate,1295,12,car,,107.9166667,1295,,,
,N5JVMZ62,24,female,2,rent,little,little,4308,48,business,,89.75,4308,,credit duration,
,7LXQ9ZHH,22,female,2,own,little,moderate,1567,12,radio/TV,,130.5833333,1567,,,
,QJSS99BA,60,male,1,own,little,little,1199,24,car,,49.95833333,1199,,,
,HDCUSPPP,28,female,2,rent,little,little,1403,15,car,,93.53333333,1403,,,
,DF37RY7E,32,female,1,own,moderate,little,1282,24,radio/TV,,53.41666667,1282,,,
,797KYD3L,53,male,2,own,,,2424,24,radio/TV,,101,2424,,,
,RTSE1BLN,25,male,2,own,,little,8072,30,business,,269.0666667,8072,,,
,3YQLGGF4,44,female,3,free,little,moderate,12579,24,car,,524.125,12579,,,
,L8O9M2YZ,31,male,2,own,quite rich,,3430,24,radio/TV,,142.9166667,3430,,,
,OR7F6EXS,48,male,2,own,little,,2134,9,car,,237.1111111,2134,,,
,O5Z5BN6K,44,male,2,rent,quite rich,little,2647,6,radio/TV,,441.1666667,2647,,,
,N54VG2BJ,48,male,1,rent,little,little,2241,10,car,,224.1,2241,,,
,BFA7044S,44,male,2,own,moderate,moderate,1804,12,car,,150.3333333,1804,,,
,S6VR9MQJ,26,male,2,own,,,2069,10,furniture/equipment,,206.9,2069,,,
,PP7QTYS3,36,male,1,own,little,little,1374,6,furniture/equipment,,229,1374,,,
,1UBAMNMZ,39,male,1,own,little,,426,6,radio/TV,,71,426,,,
,C7935QUB,42,female,2,rent,rich,rich,409,12,radio/TV,,34.08333333,409,,,
,1PYN2AEG,34,male,2,own,little,moderate,2415,7,radio/TV,,345,2415,,,
,CJKVZZ6N,63,male,2,own,little,little,6836,60,business,,113.9333333,6836,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
, Arithmetic Operations,,,,,,,,,,,,,,,
,total accounts,Addition ,"""=SUM(C35:C36)""",,,,,,,,,,,,,
,rent housing,Subtraction ,"""=F35-F36""",,,,,,,,,,,,,
,total credit,Multiplication ,"""PRODUCT(M3:J3)""",,,,,,,,,,,,,
,pay per month,Division ,"""= I3/J3""",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,total account,Count,"""=COUNT(B2:B32)""",,,,,,,,,,,,,
,male ,Distint Count,"""=COUNTIF(B2:B32,""male"")""",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Descriptive Statistics,,,,,,,,,,,,,,,
,average age ,Average/Mean,"""=AVERAGE(C3:C32)""",,,,,,,,,,,,,
,middle age,Median,"""=MEDIAN(C3:C32)""",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,minimum age ,Minimum,"""=MIN(C3:C32)""",,,,,,,,,,,,,
,maximum age,Maximum,"""=MAX(C3:C32)""",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
